ID,Milestone,Owner,Hard dependencies,Source acceptance,DoD clarification,Evidence required,Historical action status,Current acceptance status
E03,P4,Release integrator,C01; C02; C03; C06; E01; E02,"Real combined commit/tree with reviewed #419 and required release fixes, including served runtime readiness/fatal-exit corrections from C06; D0 excludes #418 unless dependency evidence requires it; preserve observer/dashboard; main-to-canary migration chain and exact EA include closure bound",D0 memiliki manifest gabungan sendiri; projection #418 tidak otomatis menjadi dependency D0.,Exact target/artifact/account binding; final SHADOW receipts; scoped canary trace; independent orders/deals/positions/history reconciliation,BLOCKED,NOT_EXECUTED_THIS_REVIEW
E04,P4,Validation owner,E03; C04,Repo-native required checks run on exact combined SHA with true exit codes; disposable PG fresh/supported upgrade and rollback-boundary tests; idempotency/claim/report/attestation/kill/fault tests pass; full required suite remains required,"Fresh DB dan supported upgrade dari head nyata diuji; assertion failure, schema conflict atau required skip menggagalkan gate.",Exact target/artifact/account binding; final SHADOW receipts; scoped canary trace; independent orders/deals/positions/history reconciliation,BLOCKED,NOT_EXECUTED_THIS_REVIEW
E05,P4,MT5 build owner,E03,Compile both exact EA artifacts with full include closure and record MetaEditor build/error/warning output plus executable hashes; compiler success alone is not HTTP/broker acceptance,"Compile exact EA include closure; nol error, seluruh warning memiliki disposition sesuai gate repo; hash binary tercatat.",Exact target/artifact/account binding; final SHADOW receipts; scoped canary trace; independent orders/deals/positions/history reconciliation,BLOCKED,NOT_EXECUTED_THIS_REVIEW
E06,P4,MT5/account operator,E02,Read actual target account/server/DEMO/session/spec/governance plus independent reader identity/coverage; inventory applied DB head with read-only access; no secrets copied into evidence,Read-only binding account/server/DEMO/spec dan independent reader dibuktikan; jangan menyalin secret ke receipt.,Exact target/artifact/account binding; final SHADOW receipts; scoped canary trace; independent orders/deals/positions/history reconciliation,BLOCKED,NOT_EXECUTED_THIS_REVIEW
D01,P4,Database release operator,E04; E05; E06,Observed applied head matches release precondition; compatible tested migration applied by one migration owner with backup/recovery evidence; schema checks satisfy exact D0 binary; unknown ledger prevents destructive downgrade,Satu migration owner; applied schema sesuai manifest; backup/recovery evidence; pertahankan history dan unknown ledger.,Exact target/artifact/account binding; final SHADOW receipts; scoped canary trace; independent orders/deals/positions/history reconciliation,BLOCKED,NOT_EXECUTED_THIS_REVIEW
E07,P4,Deployment operator,E04; E05; E06; D01,Explicit target project/services/config/schema/images/EA bytes match release manifest; exactly one broker-capable executor and intended lifecycle owner; keep new-risk disarmed until rehearsal,Image/config/schema/EA aktual cocok per service UUID; single ownership dibuktikan pada target.,Exact target/artifact/account binding; final SHADOW receipts; scoped canary trace; independent orders/deals/positions/history reconciliation,BLOCKED,NOT_EXECUTED_THIS_REVIEW
E08,P4,Acceptance operator,E07,Final-artifact HTTPS poll/claim/report and restart/corrupt-state/network failure rehearsal; zero broker submits; fresh independent account proof; no stale source PASS transferred,HTTPS poll/claim/report dan fault rehearsal pada artifact final; zero broker submit; inventory independen tetap tersedia.,Exact target/artifact/account binding; final SHADOW receipts; scoped canary trace; independent orders/deals/positions/history reconciliation,BLOCKED,NOT_EXECUTED_THIS_REVIEW
E09,P4,DEMO operator,E08,One explicitly scoped engineering DEMO request permits maximum one logical submit/effect according to canary contract; independent broker outcome reconciled; ambiguity retains block and never retries blindly,"Record CANARY_OUTCOME_RECONCILED dan BROKER_FILL_PROVEN secara terpisah. Rejection/no-fill yang jelas dapat menutup uji outcome, tetapi tidak membuktikan fill. Satu logical submit bukan satu deal.",Exact target/artifact/account binding; final SHADOW receipts; scoped canary trace; independent orders/deals/positions/history reconciliation,BLOCKED,NOT_EXECUTED_THIS_REVIEW
N01,P3,Trade ledger maintainer,R03; E02,One immutable FinalSignal/reservation -> one deterministic command; payload conflict rejects; snapshot supersession yields auditable reauthorization; command publication never releases exposure; final builder persists only after both valid L12 strategy verdict with mandatory post-verdict gates and separate account/exposure/final-size risk approval; journal and enrichment cannot override either authority; current runtime L12 wiring remains unverified until traced,Same intent/same bytes idempotent; same ID/different payload ditolak. Outbox delivery tidak menjadi approval risiko baru.,Combined source/schema/EA manifest; DB transaction/race/fault receipts; wire vectors; MetaEditor output; negative sink counters,BLOCKED,NOT_EXECUTED_THIS_REVIEW
N02,P3,EA maintainer,R03; E01,Reuse shared wire/journal with explicit natural source/action allowlist; exact lot/protection/expiry; selected market and limit/cancel strategy modes; persistent marker and no residual resubmit; SHADOW cannot trade,Python/MQL5 contract vectors cocok; EA hanya menjalankan keputusan terikat; SHADOW dan invalid signature/account/expiry menghasilkan zero submit.,Combined source/schema/EA manifest; DB transaction/race/fault receipts; wire vectors; MetaEditor output; negative sink counters,BLOCKED,NOT_EXECUTED_THIS_REVIEW
N03,P3,Integration maintainer,N01; N02; E03; S04; S05,Converge strategy/risk/EA with reviewed #418 only where selected; preserve observer/projection consumer boundaries; resolve protocol and two-head migration graph additively unless applied history proves alternative safe,"Combined commit nyata, protokol kompatibel, migration target converged dan jelas; riwayat applied migration tidak ditulis ulang.",Combined source/schema/EA manifest; DB transaction/race/fault receipts; wire vectors; MetaEditor output; negative sink counters,BLOCKED,NOT_EXECUTED_THIS_REVIEW
N04,P3,Validation owner,N03; S06; C04,"Full required gates, exact EA compile and disposable schema upgrades; race capacity, partial-fill/cancel/out-of-order/unknown/revocation tests; complete natural lineages and negative zero-sink effects","PASS pada source/schema/config/policy/EA gabungan natural, termasuk recovery unknown dan partial fill. D0 PASS tidak menggantikan natural gates.",Combined source/schema/EA manifest; DB transaction/race/fault receipts; wire vectors; MetaEditor output; negative sink counters,BLOCKED,NOT_EXECUTED_THIS_REVIEW
D02,P5,Database release operator,N04; E09,Observed heads and data compatible with tested additive convergence migration; projection fields remain nullable for non-projection rows; preserve SHADOW/canary/observer history and bind schema to natural artifact,Natural schema diterapkan dari observed target head; compatibility SHADOW/canary/history dipertahankan.,Natural episode lineage; parent and child release receipts; independent broker lifecycle; next-campaign risk basis,BLOCKED,NOT_EXECUTED_THIS_REVIEW
N05,P5,Deployment operator,N04; E09; D02,Deploy selected natural source/schema/config/EA profile to existing target and repeat final SHADOW; verify one account/executor owner and selected policy; no automatic reuse of old D0 SHA PASS,Final SHADOW diulang pada artifact natural aktual; tidak mewarisi deployment PASS D0.,Natural episode lineage; parent and child release receipts; independent broker lifecycle; next-campaign risk basis,BLOCKED,NOT_EXECUTED_THIS_REVIEW
N06,P5,DEMO campaign operator,N05,Real canonical natural event -> full structure -> current risk -> FinalSignal -> broker parent outcome; WAIT/advisory/stale zero new-risk command; one-account/instrument/cap/time window explicit; full TP1/SL lifecycle and no-fill counted honestly,"Bukti positif natural parent dan lifecycle protection/closure wajib; belum ada sinyal/no-fill dilaporkan NOT_OBSERVED, bukan sukses eksekusi.",Natural episode lineage; parent and child release receipts; independent broker lifecycle; next-campaign risk basis,BLOCKED,NOT_EXECUTED_THIS_REVIEW
N07,P5,Risk/strategy maintainer,R02; S04,"Preserve selected profile; immutable campaign R from realized balance, current account caps; explicit broker-proved release semantics, lifetime one-child slot, parent/child partial-fill and close recovery; no BE/trailing invented","Child independent proof, lifetime slot dan risk-release mengikuti SSOT/profile; floating profit dengan static SL tidak dianggap release.",Natural episode lineage; parent and child release receipts; independent broker lifecycle; next-campaign risk basis,BLOCKED,NOT_EXECUTED_THIS_REVIEW
J01,P5,Child integration and validation owner,N07; N04; C04,"Freeze a real child-capable combined commit/tree after N07; bind policy/schema/config and both EA include closures; run required clean-runner, disposable PG migrations, child/parent replay, concurrency/recovery and MetaEditor gates on these exact child bytes; parent N04 PASS is context only and cannot satisfy this acceptance","Child bytes diuji sendiri termasuk replay, migrations, race, recovery dan MetaEditor; parent PASS bukan bukti child.",Natural episode lineage; parent and child release receipts; independent broker lifecycle; next-campaign risk basis,BLOCKED,NOT_EXECUTED_THIS_REVIEW
J02,P5,Database release operator,J01; N06,"Inspect current target schema/ledger and apply only tested child migration under single migration owner; if no migration is needed, record verified compatible no-op against child schema digest; preserve parent/child/canary/observer histories and unresolved exposure",Migration child atau compatible no-op mempunyai bukti schema binding; riwayat dan unresolved exposure dipertahankan.,Natural episode lineage; parent and child release receipts; independent broker lifecycle; next-campaign risk basis,BLOCKED,NOT_EXECUTED_THIS_REVIEW
J03,P5,Deployment operator,J01; J02,Deploy only the exact J01 child source/image/config/policy/EA closure with J02 schema binding; inspect effective existing service UUIDs/ownership and repeat child-capable final SHADOW with zero broker submits; parent deployment/PASS never stands in for changed artifact parity,Child release parity dan final SHADOW dibuktikan pada image/config/schema/policy/EA baru.,Natural episode lineage; parent and child release receipts; independent broker lifecycle; next-campaign risk basis,BLOCKED,NOT_EXECUTED_THIS_REVIEW
N08,P5,DEMO campaign operator,N06; J03,Run only scoped child-capable broker campaign on exact J01/J02/J03 release; independently reconcile parent+one child and next-campaign compounding; lifetime slot persists after close; unknown retains exposure; no parent-only PASS reused for child capability,"Parent+child alami, lifecycle kedua leg, slot tetap consumed setelah close, dan compounding campaign berikutnya terbukti independen.",Natural episode lineage; parent and child release receipts; independent broker lifecycle; next-campaign risk basis,BLOCKED,NOT_EXECUTED_THIS_REVIEW
O01,P6,Operations owner,N08,"Bound DEMO soak/fault drills cover disconnect/restart/kill and service loss; no orphan exposure or silent backlog; measure stale ratios, lag, resource bounds and recovery; retain protected positions and reconciliation; no spontaneous close-all","Soak/fault drill mengukur source freshness, queue lag, latency, recovery/resource; SLO/window harus ditetapkan sebelum dinilai.",Preregistered evaluation/SLO manifest; OOS and DEMO measurements; fault/recovery receipts; residual-risk decision dossier,BLOCKED,NOT_EXECUTED_THIS_REVIEW
O02,P6,Research evaluation owner,S06; C04,"Predefined OOS/walk-forward cohorts with availability/cost/strategy/risk digests; campaign-clustered outcomes, drawdown/uncertainty/no-fill/ambiguous counts reported; no invented 94% target and no profitability inferred from D0",OOS/walk-forward cohort dibekukan; biaya/no-fill/unknown/campaign clustering dilaporkan; threshold tidak dipilih setelah hasil.,Preregistered evaluation/SLO manifest; OOS and DEMO measurements; fault/recovery receipts; residual-risk decision dossier,BLOCKED,NOT_EXECUTED_THIS_REVIEW
O03,P6,Release reviewer,O01; O02; C05,Assemble exact artifact/account/policy operational and strategy evidence plus unresolved risks; report READY_FOR_REVIEW or HOLD with objective reasons; dossier itself never enables REAL or sends orders,Dossier lengkap boleh berakhir HOLD. REAL_REVIEW_DONE tidak sama dengan REAL_READY atau REAL_ACTIVE.,Preregistered evaluation/SLO manifest; OOS and DEMO measurements; fault/recovery receipts; residual-risk decision dossier,NOT_EXECUTED,NOT_EXECUTED_THIS_REVIEW
