ID,Milestone,Owner,Outcome,Scope,Mutation surfaces,Hard dependencies,Preconditions,Expected acceptance,Execution status,Rollback boundary,Rollback recovery,Duration
S04,P2,Lifecycle maintainer,DUAL_ADMISSION_LIFECYCLE_WIRED,WORKTREE,Lifecycle repositories; evidence scheduler; analysis loop; current eligibility versus historical authority,S03; C02,source.scope_acquired; RAW_ADMISSION_DETERMINISTIC; SINGLE_OWNER_CONTRACT_PATCHED; authority.implementation,Canonical raw and mature advisory use existing durable lifecycle; advisory full SHADOW analysis emits zero risk/commands; same-episode raw upgrade requires fresh candidate; single-flight late-result fencing and persisted material watermarks,BLOCKED,Before S04 touches Lifecycle repositories; evidence scheduler; analysis loop; current eligibility versus historical authority,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
S05,P2,Strategy geometry maintainer,V31_GEOMETRY_COSTS_ENFORCED,WORKTREE,P5 candidate solver; execution_policy; broker-cost and instrument contract,S01,source.scope_acquired; V31_IMPLEMENTATION_BINDING_FROZEN; authority.implementation,H1 before M15 proof; structural stop then nearest fresh H4 target; net RR boundary including costs; correct FX/JPY/metals routing; unsupported spec rejects; no farther target chosen to force RR,BLOCKED,Before S05 touches P5 candidate solver; execution_policy; broker-cost and instrument contract,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
S06,P2,Replay maintainer,DETERMINISTIC_STRATEGY_REPLAY_PASSED,OTHER,Clean runner replay fixtures; strategy and admission integration tests,S02; S04; S05; C04,source.scope_acquired; MARKET_EVIDENCE_TRUSTWORTHY; DUAL_ADMISSION_LIFECYCLE_WIRED; V31_GEOMETRY_COSTS_ENFORCED; DEDICATED_LINUX_RUNNER_AVAILABLE; authority.implementation,Bound dataset/as-of availability/clock/policy replay reproduces identities and decision reasons; parser diagnostics repeated with actual dependencies; no lookahead or advisory authority leak,BLOCKED,Before S06 touches Clean runner replay fixtures; strategy and admission integration tests,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
R01,P3,Risk policy owner and maintainer,ACCOUNT_RISK_PROFILE_BOUND,WORKTREE,RiskPolicyRegistry; account/mode version binding; policy examples,S01,source.scope_acquired; V31_IMPLEMENTATION_BINDING_FROZEN; authority.implementation; policy.account_risk_selected,Bind one explicitly selected account/mode/currency risk profile; equal5+5 and DEMO3.5+1.5 kept distinct; parent-first rollout cap explicit; RR metric/threshold tied to policy; no percentage guessed from memory,BLOCKED,Before R01 touches RiskPolicyRegistry; account/mode version binding; policy examples,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
R02,P3,Risk ledger maintainer,CAPITAL_RISK_LEDGER_IMPLEMENTED,WORKTREE,Durable risk v2 adapter/repository; FinalSignal outbox; account exposure reducer,R01; S05,source.scope_acquired; ACCOUNT_RISK_PROFILE_BOUND; V31_GEOMETRY_COSTS_ENFORCED; authority.implementation,Current canonical P5 identity enters serialized account admission; reservation+leg+FinalSignal+outbox atomic; floor broker volume and final cash-loss oracle; pending/filled/unsubmitted/unknown exposure counted once; unavailable snapshot fails closed,BLOCKED,Before R02 touches Durable risk v2 adapter/repository; FinalSignal outbox; account exposure reducer,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
R03,P3,Protocol maintainer,NATURAL_DEMO_CONTRACT_IMPLEMENTED,WORKTREE,Versioned natural DEMO contract; signed command protocol; compatibility tests,R02,source.scope_acquired; CAPITAL_RISK_LEDGER_IMPLEMENTED; authority.implementation,Explicit natural5SCR DEMO source class with current candidate/proof/reservation/account/spec/reconciliation/version/deadline binding; #418 projection and #419 engineering lineage cannot masquerade as capital authority; bind source-backed L12 strategy verdict plus mandatory post-verdict gates before separate account/exposure/final-size risk approval; P5-to-risk regex/ID substitution cannot bypass unknown gate mapping; journal records only and enrichment has no authority,BLOCKED,Before R03 touches Versioned natural DEMO contract; signed command protocol; compatibility tests,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
E01,P4,EA and bridge maintainer,D0_TIMER_CLAIM_GUARDS_PATCHED,WORKTREE,Wolf15_DumbExecutor_Shadow.mq5; Wolf15_DumbExecutor_Demo.mq5; claim repository,A00,source.scope_acquired; authority.implementation,SHADOW and DEMO active timer handlers use monotonic elapsed scheduling; UTC expiry separate; direct claim enforces not-before/expiry atomically; no-quote recovery continues but stale quote submit rejects,BLOCKED,Before E01 touches Wolf15_DumbExecutor_Shadow.mq5; Wolf15_DumbExecutor_Demo.mq5; claim repository,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
E02,P4,Auth and ledger maintainer,INDEPENDENT_ATTESTATION_IMPLEMENTED,WORKTREE,Attestation schema/repository/auth boundary; existing bridge enqueue/arm,A00,source.scope_acquired; authority.implementation,Separate attestor principal and immutable proof/verifier; heartbeat bool cannot establish reconciliation; account/purpose/challenge/version/expiry/completeness checked; enqueue/arm binds verified proof atomically,BLOCKED,Before E02 touches Attestation schema/repository/auth boundary; existing bridge enqueue/arm,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
E03,P4,Release integrator,D0_COMBINED_SOURCE_FROZEN,WORKTREE,Isolated D0 integration branch; revision/build/schema/protocol manifest,C01; C02; C03; C06; E01; E02,source.scope_acquired; RELEASE_EXACT_SHA_PATCHED; SINGLE_OWNER_CONTRACT_PATCHED; REQUIRED_GATES_TRUTHFUL; REQUIRED_RUNTIME_READINESS_PATCHED; D0_TIMER_CLAIM_GUARDS_PATCHED; INDEPENDENT_ATTESTATION_IMPLEMENTED; authority.implementation,"Real combined commit/tree with reviewed #419 and required release fixes, including served runtime readiness/fatal-exit corrections from C06; D0 excludes #418 unless dependency evidence requires it; preserve observer/dashboard; main-to-canary migration chain and exact EA include closure bound",BLOCKED,Before E03 touches Isolated D0 integration branch; revision/build/schema/protocol manifest,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
E04,P4,Validation owner,D0_CLEAN_RUNNER_GATES_PASSED,OTHER,Bound clean runner; disposable DB/Redis; CI receipts and artifact manifest,E03; C04,source.scope_acquired; D0_COMBINED_SOURCE_FROZEN; DEDICATED_LINUX_RUNNER_AVAILABLE; authority.implementation,Repo-native required checks run on exact combined SHA with true exit codes; disposable PG fresh/supported upgrade and rollback-boundary tests; idempotency/claim/report/attestation/kill/fault tests pass; full required suite remains required,BLOCKED,Before E04 touches Bound clean runner; disposable DB/Redis; CI receipts and artifact manifest,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
E05,P4,MT5 build owner,D0_EA_ARTIFACTS_COMPILED,OTHER,Authorized MetaEditor build host; SHADOW+DEMO EA source closure,E03,source.scope_acquired; D0_COMBINED_SOURCE_FROZEN; capability.metaeditor,Compile both exact EA artifacts with full include closure and record MetaEditor build/error/warning output plus executable hashes; compiler success alone is not HTTP/broker acceptance,BLOCKED,Before E05 touches Authorized MetaEditor build host; SHADOW+DEMO EA source closure,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
E06,P4,MT5/account operator,D0_ACCOUNT_READER_BINDING_VERIFIED,READ_ONLY,Read-only MT5/broker ledger and target database audit; account/executor binding receipt,E02,source.scope_acquired; INDEPENDENT_ATTESTATION_IMPLEMENTED; capability.account_reader,Read actual target account/server/DEMO/session/spec/governance plus independent reader identity/coverage; inventory applied DB head with read-only access; no secrets copied into evidence,BLOCKED,Read-only observations and dossier; no repository/runtime mutation,,NOT_MEASURED
D01,P4,Database release operator,D0_SCHEMA_RELEASE_APPLIED,DATABASE,Target PostgreSQL D0 schema release; existing command/audit rows preserved,E04; E05; E06,source.scope_acquired; D0_CLEAN_RUNNER_GATES_PASSED; D0_EA_ARTIFACTS_COMPILED; D0_ACCOUNT_READER_BINDING_VERIFIED; authority.d0_database,Observed applied head matches release precondition; compatible tested migration applied by one migration owner with backup/recovery evidence; schema checks satisfy exact D0 binary; unknown ledger prevents destructive downgrade,BLOCKED,Before D01 touches Target PostgreSQL D0 schema release; existing command/audit rows preserved,"Stop new risk within approved scope; preserve immutable command/reservation/broker evidence and existing protections; reconcile unknown outcomes; use reviewed compatible prior artifact or forward repair. Broker effects are not undone by source rollback; no blind resend, close-all or ledger deletion.",NOT_MEASURED
E07,P4,Deployment operator,D0_DEPLOYMENT_BOUND,DEPLOYMENT,Existing Railway project/service targets; bound DEMO EA and migration release,E04; E05; E06; D01,source.scope_acquired; D0_CLEAN_RUNNER_GATES_PASSED; D0_EA_ARTIFACTS_COMPILED; D0_ACCOUNT_READER_BINDING_VERIFIED; D0_SCHEMA_RELEASE_APPLIED; authority.d0_deployment,Explicit target project/services/config/schema/images/EA bytes match release manifest; exactly one broker-capable executor and intended lifecycle owner; keep new-risk disarmed until rehearsal,BLOCKED,Before E07 touches Existing Railway project/service targets; bound DEMO EA and migration release,"Stop new risk within approved scope; preserve immutable command/reservation/broker evidence and existing protections; reconcile unknown outcomes; use reviewed compatible prior artifact or forward repair. Broker effects are not undone by source rollback; no blind resend, close-all or ledger deletion.",NOT_MEASURED
E08,P4,Acceptance operator,D0_FINAL_SHADOW_REHEARSAL_PASSED,OTHER,Bound live SHADOW terminal/bridge with recording and broker inventory evidence,E07,source.scope_acquired; D0_DEPLOYMENT_BOUND; authority.shadow_runtime,Final-artifact HTTPS poll/claim/report and restart/corrupt-state/network failure rehearsal; zero broker submits; fresh independent account proof; no stale source PASS transferred,BLOCKED,Before E08 touches Bound live SHADOW terminal/bridge with recording and broker inventory evidence,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
E09,P4,DEMO operator,D0_CANARY_RECONCILED,EXTERNAL,One bound DEMO account/executor/symbol/window; engineering canary only,E08,source.scope_acquired; D0_FINAL_SHADOW_REHEARSAL_PASSED; authority.d0_canary,One explicitly scoped engineering DEMO request permits maximum one logical submit/effect according to canary contract; independent broker outcome reconciled; ambiguity retains block and never retries blindly,BLOCKED,Before E09 touches One bound DEMO account/executor/symbol/window; engineering canary only,"Stop new risk within approved scope; preserve immutable command/reservation/broker evidence and existing protections; reconcile unknown outcomes; use reviewed compatible prior artifact or forward repair. Broker effects are not undone by source rollback; no blind resend, close-all or ledger deletion.",NOT_MEASURED
N01,P3,Trade ledger maintainer,NATURAL_SIGNED_PRODUCER_IMPLEMENTED,WORKTREE,Natural signed producer; outbox; command ledger/report reducer,R03; E02,source.scope_acquired; NATURAL_DEMO_CONTRACT_IMPLEMENTED; INDEPENDENT_ATTESTATION_IMPLEMENTED; authority.implementation,One immutable FinalSignal/reservation -> one deterministic command; payload conflict rejects; snapshot supersession yields auditable reauthorization; command publication never releases exposure; final builder persists only after both valid L12 strategy verdict with mandatory post-verdict gates and separate account/exposure/final-size risk approval; journal and enrichment cannot override either authority; current runtime L12 wiring remains unverified until traced,BLOCKED,Before N01 touches Natural signed producer; outbox; command ledger/report reducer,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
N02,P3,EA maintainer,NATURAL_EA_IMPLEMENTED,WORKTREE,Natural DEMO EA profile/build plus shared mechanics; Python/MQL5 contract vectors,R03; E01,source.scope_acquired; NATURAL_DEMO_CONTRACT_IMPLEMENTED; D0_TIMER_CLAIM_GUARDS_PATCHED; authority.implementation,Reuse shared wire/journal with explicit natural source/action allowlist; exact lot/protection/expiry; selected market and limit/cancel strategy modes; persistent marker and no residual resubmit; SHADOW cannot trade,BLOCKED,Before N02 touches Natural DEMO EA profile/build plus shared mechanics; Python/MQL5 contract vectors,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
N03,P3,Integration maintainer,NATURAL_COMBINED_SOURCE_FROZEN,WORKTREE,Natural integration branch; schema union; migrations; contracts; version manifest,N01; N02; E03; S04; S05,source.scope_acquired; NATURAL_SIGNED_PRODUCER_IMPLEMENTED; NATURAL_EA_IMPLEMENTED; D0_COMBINED_SOURCE_FROZEN; DUAL_ADMISSION_LIFECYCLE_WIRED; V31_GEOMETRY_COSTS_ENFORCED; authority.implementation,Converge strategy/risk/EA with reviewed #418 only where selected; preserve observer/projection consumer boundaries; resolve protocol and two-head migration graph additively unless applied history proves alternative safe,BLOCKED,Before N03 touches Natural integration branch; schema union; migrations; contracts; version manifest,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
N04,P3,Validation owner,NATURAL_COMBINED_GATES_PASSED,OTHER,Exact combined runner/MetaEditor/DB fixture acceptance,N03; S06; C04,source.scope_acquired; NATURAL_COMBINED_SOURCE_FROZEN; DETERMINISTIC_STRATEGY_REPLAY_PASSED; DEDICATED_LINUX_RUNNER_AVAILABLE; authority.implementation; capability.metaeditor,"Full required gates, exact EA compile and disposable schema upgrades; race capacity, partial-fill/cancel/out-of-order/unknown/revocation tests; complete natural lineages and negative zero-sink effects",BLOCKED,Before N04 touches Exact combined runner/MetaEditor/DB fixture acceptance,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
D02,P5,Database release operator,NATURAL_SCHEMA_RELEASE_APPLIED,DATABASE,Target PostgreSQL natural schema convergence; no historical revision rewrite,N04; E09,source.scope_acquired; NATURAL_COMBINED_GATES_PASSED; D0_CANARY_RECONCILED; authority.natural_database,Observed heads and data compatible with tested additive convergence migration; projection fields remain nullable for non-projection rows; preserve SHADOW/canary/observer history and bind schema to natural artifact,BLOCKED,Before D02 touches Target PostgreSQL natural schema convergence; no historical revision rewrite,"Stop new risk within approved scope; preserve immutable command/reservation/broker evidence and existing protections; reconcile unknown outcomes; use reviewed compatible prior artifact or forward repair. Broker effects are not undone by source rollback; no blind resend, close-all or ledger deletion.",NOT_MEASURED
N05,P5,Deployment operator,NATURAL_DEPLOYMENT_REHEARSED,DEPLOYMENT,Existing Railway targets and bound DEMO terminal; versioned rollout,N04; E09; D02,source.scope_acquired; NATURAL_COMBINED_GATES_PASSED; D0_CANARY_RECONCILED; NATURAL_SCHEMA_RELEASE_APPLIED; authority.natural_deployment; authority.shadow_runtime,Deploy selected natural source/schema/config/EA profile to existing target and repeat final SHADOW; verify one account/executor owner and selected policy; no automatic reuse of old D0 SHA PASS,BLOCKED,Before N05 touches Existing Railway targets and bound DEMO terminal; versioned rollout,"Stop new risk within approved scope; preserve immutable command/reservation/broker evidence and existing protections; reconcile unknown outcomes; use reviewed compatible prior artifact or forward repair. Broker effects are not undone by source rollback; no blind resend, close-all or ledger deletion.",NOT_MEASURED
N06,P5,DEMO campaign operator,NATURAL_PARENT_DEMO_RECONCILED,EXTERNAL,Bound parent-only natural DEMO cohort; independent broker evidence,N05,source.scope_acquired; NATURAL_DEPLOYMENT_REHEARSED; authority.parent_demo,Real canonical natural event -> full structure -> current risk -> FinalSignal -> broker parent outcome; WAIT/advisory/stale zero new-risk command; one-account/instrument/cap/time window explicit; full TP1/SL lifecycle and no-fill counted honestly,BLOCKED,Before N06 touches Bound parent-only natural DEMO cohort; independent broker evidence,"Stop new risk within approved scope; preserve immutable command/reservation/broker evidence and existing protections; reconcile unknown outcomes; use reviewed compatible prior artifact or forward repair. Broker effects are not undone by source rollback; no blind resend, close-all or ledger deletion.",NOT_MEASURED
N07,P5,Risk/strategy maintainer,CHILD_COMPOUNDING_IMPLEMENTED,WORKTREE,Campaign/leg ledger; child admission; compounding policy; lifecycle fixtures,R02; S04,source.scope_acquired; CAPITAL_RISK_LEDGER_IMPLEMENTED; DUAL_ADMISSION_LIFECYCLE_WIRED; authority.implementation; policy.child_release_defined,"Preserve selected profile; immutable campaign R from realized balance, current account caps; explicit broker-proved release semantics, lifetime one-child slot, parent/child partial-fill and close recovery; no BE/trailing invented",BLOCKED,Before N07 touches Campaign/leg ledger; child admission; compounding policy; lifecycle fixtures,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
J01,P5,Child integration and validation owner,CHILD_COMBINED_GATES_PASSED,OTHER,Isolated child integration worktree and exact child build/test/replay/MetaEditor evidence; preserve parent release,N07; N04; C04,source.scope_acquired; CHILD_COMPOUNDING_IMPLEMENTED; NATURAL_COMBINED_GATES_PASSED; DEDICATED_LINUX_RUNNER_AVAILABLE; authority.implementation; capability.metaeditor,"Freeze a real child-capable combined commit/tree after N07; bind policy/schema/config and both EA include closures; run required clean-runner, disposable PG migrations, child/parent replay, concurrency/recovery and MetaEditor gates on these exact child bytes; parent N04 PASS is context only and cannot satisfy this acceptance",BLOCKED,Before J01 touches Isolated child integration worktree and exact child build/test/replay/MetaEditor evidence; preserve parent release,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
J02,P5,Database release operator,CHILD_SCHEMA_RELEASE_BOUND,DATABASE,Bound target PostgreSQL child schema transition or audited compatible no-op,J01; N06,source.scope_acquired; CHILD_COMBINED_GATES_PASSED; NATURAL_PARENT_DEMO_RECONCILED; authority.child_database,"Inspect current target schema/ledger and apply only tested child migration under single migration owner; if no migration is needed, record verified compatible no-op against child schema digest; preserve parent/child/canary/observer histories and unresolved exposure",BLOCKED,Before J02 touches Bound target PostgreSQL child schema transition or audited compatible no-op,"Stop new risk within approved scope; preserve immutable command/reservation/broker evidence and existing protections; reconcile unknown outcomes; use reviewed compatible prior artifact or forward repair. Broker effects are not undone by source rollback; no blind resend, close-all or ledger deletion.",NOT_MEASURED
J03,P5,Deployment operator,CHILD_DEPLOYMENT_REHEARSED,DEPLOYMENT,Existing Railway and DEMO terminal child release; exact child artifact and final rehearsal,J01; J02,source.scope_acquired; CHILD_COMBINED_GATES_PASSED; CHILD_SCHEMA_RELEASE_BOUND; authority.child_deployment; authority.shadow_runtime,Deploy only the exact J01 child source/image/config/policy/EA closure with J02 schema binding; inspect effective existing service UUIDs/ownership and repeat child-capable final SHADOW with zero broker submits; parent deployment/PASS never stands in for changed artifact parity,BLOCKED,Before J03 touches Existing Railway and DEMO terminal child release; exact child artifact and final rehearsal,"Stop new risk within approved scope; preserve immutable command/reservation/broker evidence and existing protections; reconcile unknown outcomes; use reviewed compatible prior artifact or forward repair. Broker effects are not undone by source rollback; no blind resend, close-all or ledger deletion.",NOT_MEASURED
N08,P5,DEMO campaign operator,NATURAL_FAMILY_DEMO_RECONCILED,EXTERNAL,Bound child-capable natural DEMO cohort; exact child artifact/schema/policy and broker evidence,N06; J03,source.scope_acquired; NATURAL_PARENT_DEMO_RECONCILED; CHILD_DEPLOYMENT_REHEARSED; authority.family_demo,Run only scoped child-capable broker campaign on exact J01/J02/J03 release; independently reconcile parent+one child and next-campaign compounding; lifetime slot persists after close; unknown retains exposure; no parent-only PASS reused for child capability,BLOCKED,Before N08 touches Bound child-capable natural DEMO cohort; exact child artifact/schema/policy and broker evidence,"Stop new risk within approved scope; preserve immutable command/reservation/broker evidence and existing protections; reconcile unknown outcomes; use reviewed compatible prior artifact or forward repair. Broker effects are not undone by source rollback; no blind resend, close-all or ledger deletion.",NOT_MEASURED
O01,P6,Operations owner,OPERATIONAL_RECOVERY_EVIDENCE_COMPLETE,OTHER,Operational evidence on exact DEMO artifacts; runbooks; metrics and incident ownership,N08,source.scope_acquired; NATURAL_FAMILY_DEMO_RECONCILED; authority.operational_drills,"Bound DEMO soak/fault drills cover disconnect/restart/kill and service loss; no orphan exposure or silent backlog; measure stale ratios, lag, resource bounds and recovery; retain protected positions and reconciliation; no spontaneous close-all",BLOCKED,Before O01 touches Operational evidence on exact DEMO artifacts; runbooks; metrics and incident ownership,"Stop new risk within approved scope; preserve immutable command/reservation/broker evidence and existing protections; reconcile unknown outcomes; use reviewed compatible prior artifact or forward repair. Broker effects are not undone by source rollback; no blind resend, close-all or ledger deletion.",NOT_MEASURED
O02,P6,Research evaluation owner,STRATEGY_EVALUATION_DOSSIER_COMPLETE,OTHER,Offline reproducible research evidence; no runtime promotion authority,S06; C04,source.scope_acquired; DETERMINISTIC_STRATEGY_REPLAY_PASSED; DEDICATED_LINUX_RUNNER_AVAILABLE; authority.implementation,"Predefined OOS/walk-forward cohorts with availability/cost/strategy/risk digests; campaign-clustered outcomes, drawdown/uncertainty/no-fill/ambiguous counts reported; no invented 94% target and no profitability inferred from D0",BLOCKED,Before O02 touches Offline reproducible research evidence; no runtime promotion authority,Revert only the owned patch/artifact changes after preserving pre-existing tracked/untracked work and evidence; never blanket reset.,NOT_MEASURED
O03,P6,Release reviewer,REAL_READINESS_DOSSIER_COMPLETE,READ_ONLY,Read-only release dossier and final authority/rollback review,O01; O02; C05,source.scope_acquired; OPERATIONAL_RECOVERY_EVIDENCE_COMPLETE; STRATEGY_EVALUATION_DOSSIER_COMPLETE; RELEASE_GOVERNANCE_ENFORCED,Assemble exact artifact/account/policy operational and strategy evidence plus unresolved risks; report READY_FOR_REVIEW or HOLD with objective reasons; dossier itself never enables REAL or sends orders,NOT_EXECUTED,Read-only observations and dossier; no repository/runtime mutation,,NOT_MEASURED
