ID,Milestone,Owner,Hard dependencies,Historical status,Current status,DONE,Closure scope,Evidence and blocker,Acceptance,DoD clarification,Evidence pointers
S04,P2,Lifecycle maintainer,S03; C02,BLOCKED,BLOCKED,False,NOT_CLOSED,Current observer documents no MATURE_ADVISORY producer; lifecycle v2 recovery passing is not dual admission or advisory upgrade closure.,Canonical raw and mature advisory use existing durable lifecycle; advisory full SHADOW analysis emits zero risk/commands; same-episode raw upgrade requires fresh candidate; single-flight late-result fencing and persisted material watermarks,"Qualifying advisory mendapat lifecycle/analisis tetapi nol capital reservation, FinalSignal executable atau command; upgrade wajib re-evaluation.",evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
S05,P2,Strategy geometry maintainer,S01,BLOCKED,FAIL,False,NOT_CLOSED,P5 target universe only H4 strict swing; DoD v3.1 includes D1/H4/H1 and other legal structures. Existing nearest-target tests pass within narrower universe.,Closed/as-of H1 and ordered M15 proof; nearest fresh unconsumed target from SSOT v3.1 §17.2 universe; structural SL before RR/cost constraints and final feasible interval per §17.1; bound instrument policy/spec; no farther target selected to force RR.,Koreksi ringkasan H4-only: gunakan universe SSOT §17.2 D1/H4/H1 dan sumber struktural legal. §17.1 menjadi referensi solve order; konflik diagram dicatat dalam binding.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
S06,P2,Replay maintainer,S02; S04; S05; C04,BLOCKED,INCOMPLETE,False,NOT_CLOSED,211 local component tests pass; all 35 clauses mapped but complete v3.1 frozen dataset/policy/cohort denominators absent.,Bound dataset/as-of availability/clock/policy replay reproduces identities and decision reasons; parser diagnostics repeated with actual dependencies; no lookahead or advisory authority leak,Seluruh 15 acceptance §24.1 dan 20 zero-tolerance §24.2 diuji dengan denominator dan fixture. Denominator nol bukan 100% PASS.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
R01,P3,Risk policy owner and maintainer,S01,BLOCKED,UNBOUND_USER_CONFIRMED,False,NOT_CLOSED,"User confirmed no valid runtime binding packet: do not invent account,mode,currency or risk profile.",Bind one explicitly selected account/mode/currency risk profile; equal5+5 and DEMO3.5+1.5 kept distinct; parent-first rollout cap explicit; RR metric/threshold tied to policy; no percentage guessed from memory,Satu risk profile account/mode/currency terikat; tidak mencampur equal dengan asymmetric. Nilai yang belum terikat berstatus UNBOUND.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
R02,P3,Risk ledger maintainer,R01; S05,BLOCKED,BLOCKED,False,NOT_CLOSED,Account advisory transaction lock and safe floor sizing exist. Current candidate identity incompatible; PostgreSQL two-distinct-candidate race unexecuted; current repository requires flat account.,Current canonical P5 identity enters serialized account admission; reservation+leg+FinalSignal+outbox atomic; floor broker volume and final cash-loss oracle; pending/filled/unsubmitted/unknown exposure counted once; unavailable snapshot fails closed,Race dua worker/akun; capacity serialized; below-min safe lot ditolak; filled/pending/reserved/unknown dihitung sekali.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
R03,P3,Protocol maintainer,R02,BLOCKED,BLOCKED,False,NOT_CLOSED,5scr-tradeplan-v2 request rejected by risk contract requiring 5scr-plan. CommandSource binds legacy strategy version; no explicit natural DEMO source class. Do not substitute ID prefix.,Explicit natural5SCR DEMO source class with current candidate/proof/reservation/account/spec/reconciliation/version/deadline binding; #418 projection and #419 engineering lineage cannot masquerade as capital authority; bind source-backed L12 strategy verdict plus mandatory post-verdict gates before separate account/exposure/final-size risk approval; P5-to-risk regex/ID substitution cannot bypass unknown gate mapping; journal records only and enrichment has no authority,Natural source class memiliki lineage lengkap; ID regex substitution tidak menggantikan verifikasi strategy verdict/gates/risk.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
E01,P4,EA and bridge maintainer,A00,BLOCKED,BLOCKED_NOT_PROVEN_THIS_AUDIT,False,NOT_CLOSED,"No exact combined D0 artifact, mandatory clean integration/compiler gates, applied production schema/account/EA binding, final SHADOW or independently reconciled scoped broker outcome was collected. Provider SUCCESS is insufficient.",SHADOW and DEMO active timer handlers use monotonic elapsed scheduling; UTC expiry separate; direct claim enforces not-before/expiry atomically; no-quote recovery continues but stale quote submit rejects,"Monotonic elapsed scheduling terpisah dari UTC expiry; no-quote tetap bisa recovery, tidak bisa submit dengan quote stale.",evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
E02,P4,Auth and ledger maintainer,A00,BLOCKED,UNBOUND_INDEPENDENT_READER,False,NOT_CLOSED,Independent attestor identity and immutable fresh complete broker evidence are not bound; executor heartbeat boolean is insufficient.,Separate attestor principal and immutable proof/verifier; heartbeat bool cannot establish reconciliation; account/purpose/challenge/version/expiry/completeness checked; enqueue/arm binds verified proof atomically,Executor heartbeat boolean tidak cukup; attestor/reader terikat dan hasil query lengkap. Unknown proof menahan new risk.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
E03,P4,Release integrator,C01; C02; C03; C06; E01; E02,BLOCKED,BLOCKED_NOT_PROVEN_THIS_AUDIT,False,NOT_CLOSED,"No exact combined D0 artifact, mandatory clean integration/compiler gates, applied production schema/account/EA binding, final SHADOW or independently reconciled scoped broker outcome was collected. Provider SUCCESS is insufficient.","Real combined commit/tree with reviewed #419 and required release fixes, including served runtime readiness/fatal-exit corrections from C06; D0 excludes #418 unless dependency evidence requires it; preserve observer/dashboard; main-to-canary migration chain and exact EA include closure bound",D0 memiliki manifest gabungan sendiri; projection #418 tidak otomatis menjadi dependency D0.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
E04,P4,Validation owner,E03; C04,BLOCKED,BLOCKED_NOT_PROVEN_THIS_AUDIT,False,NOT_CLOSED,"No exact combined D0 artifact, mandatory clean integration/compiler gates, applied production schema/account/EA binding, final SHADOW or independently reconciled scoped broker outcome was collected. Provider SUCCESS is insufficient.",Repo-native required checks run on exact combined SHA with true exit codes; disposable PG fresh/supported upgrade and rollback-boundary tests; idempotency/claim/report/attestation/kill/fault tests pass; full required suite remains required,"Fresh DB dan supported upgrade dari head nyata diuji; assertion failure, schema conflict atau required skip menggagalkan gate.",evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
E05,P4,MT5 build owner,E03,BLOCKED,COMPILER_FOUND_ARTIFACT_UNBOUND,False,NOT_CLOSED,MetaEditor64 exists locally in three MT5 installations; no exact combined E03 EA artifact is approved/bound. Compiler not invoked; no binary hash claimed.,Compile both exact EA artifacts with full include closure and record MetaEditor build/error/warning output plus executable hashes; compiler success alone is not HTTP/broker acceptance,"Compile exact EA include closure; nol error, seluruh warning memiliki disposition sesuai gate repo; hash binary tercatat.",evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
E06,P4,MT5/account operator,E02,BLOCKED,UNBOUND_USER_CONFIRMED,False,NOT_CLOSED,"User explicitly confirmed that the register is a preparation task list, not an actual account/server/DEMO/reader binding packet.",Read actual target account/server/DEMO/session/spec/governance plus independent reader identity/coverage; inventory applied DB head with read-only access; no secrets copied into evidence,Read-only binding account/server/DEMO/spec dan independent reader dibuktikan; jangan menyalin secret ke receipt.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
D01,P4,Database release operator,E04; E05; E06,BLOCKED,BLOCKED_NOT_PROVEN_THIS_AUDIT,False,NOT_CLOSED,"No exact combined D0 artifact, mandatory clean integration/compiler gates, applied production schema/account/EA binding, final SHADOW or independently reconciled scoped broker outcome was collected. Provider SUCCESS is insufficient.",Observed applied head matches release precondition; compatible tested migration applied by one migration owner with backup/recovery evidence; schema checks satisfy exact D0 binary; unknown ledger prevents destructive downgrade,Satu migration owner; applied schema sesuai manifest; backup/recovery evidence; pertahankan history dan unknown ledger.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
E07,P4,Deployment operator,E04; E05; E06; D01,BLOCKED,BLOCKED_NOT_PROVEN_THIS_AUDIT,False,NOT_CLOSED,"No exact combined D0 artifact, mandatory clean integration/compiler gates, applied production schema/account/EA binding, final SHADOW or independently reconciled scoped broker outcome was collected. Provider SUCCESS is insufficient.",Explicit target project/services/config/schema/images/EA bytes match release manifest; exactly one broker-capable executor and intended lifecycle owner; keep new-risk disarmed until rehearsal,Image/config/schema/EA aktual cocok per service UUID; single ownership dibuktikan pada target.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
E08,P4,Acceptance operator,E07,BLOCKED,BLOCKED_NOT_PROVEN_THIS_AUDIT,False,NOT_CLOSED,"No exact combined D0 artifact, mandatory clean integration/compiler gates, applied production schema/account/EA binding, final SHADOW or independently reconciled scoped broker outcome was collected. Provider SUCCESS is insufficient.",Final-artifact HTTPS poll/claim/report and restart/corrupt-state/network failure rehearsal; zero broker submits; fresh independent account proof; no stale source PASS transferred,HTTPS poll/claim/report dan fault rehearsal pada artifact final; zero broker submit; inventory independen tetap tersedia.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
E09,P4,DEMO operator,E08,BLOCKED,BLOCKED_UNBOUND_DEMO_SCOPE,False,NOT_CLOSED,No bound account/instrument/risk/window/final SHADOW/independent reader. No logical order submitted or automatic retry performed.,One explicitly scoped engineering DEMO request permits maximum one logical submit/effect according to canary contract; independent broker outcome reconciled; ambiguity retains block and never retries blindly,"Record CANARY_OUTCOME_RECONCILED dan BROKER_FILL_PROVEN secara terpisah. Rejection/no-fill yang jelas dapat menutup uji outcome, tetapi tidak membuktikan fill. Satu logical submit bukan satu deal.",evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
N01,P3,Trade ledger maintainer,R03; E02,BLOCKED,BLOCKED,False,NOT_CLOSED,Existing deterministic SHADOW producer is unwired and accepts legacy final signal; current natural L12 plus post-verdict plus risk integration not bound.,One immutable FinalSignal/reservation -> one deterministic command; payload conflict rejects; snapshot supersession yields auditable reauthorization; command publication never releases exposure; final builder persists only after both valid L12 strategy verdict with mandatory post-verdict gates and separate account/exposure/final-size risk approval; journal and enrichment cannot override either authority; current runtime L12 wiring remains unverified until traced,Same intent/same bytes idempotent; same ID/different payload ditolak. Outbox delivery tidak menjadi approval risiko baru.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
N02,P3,EA maintainer,R03; E01,BLOCKED,BLOCKED,False,NOT_CLOSED,Producer explicitly requires SHADOW. Natural DEMO source/EA compile/wire/recovery acceptance unexecuted.,Reuse shared wire/journal with explicit natural source/action allowlist; exact lot/protection/expiry; selected market and limit/cancel strategy modes; persistent marker and no residual resubmit; SHADOW cannot trade,Python/MQL5 contract vectors cocok; EA hanya menjalankan keputusan terikat; SHADOW dan invalid signature/account/expiry menghasilkan zero submit.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
N03,P3,Integration maintainer,N01; N02; E03; S04; S05,BLOCKED,BLOCKED,False,NOT_CLOSED,No exact converged natural strategy/risk/EA artifact; immutable source type mismatch remains. PR418/419 history was not merged by this audit.,Converge strategy/risk/EA with reviewed #418 only where selected; preserve observer/projection consumer boundaries; resolve protocol and two-head migration graph additively unless applied history proves alternative safe,"Combined commit nyata, protokol kompatibel, migration target converged dan jelas; riwayat applied migration tidak ditulis ulang.",evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
N04,P3,Validation owner,N03; S06; C04,BLOCKED,NOT_EXECUTED,False,NOT_CLOSED,"Focused Python tests cannot substitute full combined natural suite, MetaEditor, disposable PG and partial-fill/unknown races.","Full required gates, exact EA compile and disposable schema upgrades; race capacity, partial-fill/cancel/out-of-order/unknown/revocation tests; complete natural lineages and negative zero-sink effects","PASS pada source/schema/config/policy/EA gabungan natural, termasuk recovery unknown dan partial fill. D0 PASS tidak menggantikan natural gates.",evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
D02,P5,Database release operator,N04; E09,BLOCKED,BLOCKED_DEPENDENCIES,False,NOT_CLOSED,Mandatory source/policy/runtime/broker dependencies remain incomplete; see exact acceptance and domain evidence.,Observed heads and data compatible with tested additive convergence migration; projection fields remain nullable for non-projection rows; preserve SHADOW/canary/observer history and bind schema to natural artifact,Natural schema diterapkan dari observed target head; compatibility SHADOW/canary/history dipertahankan.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
N05,P5,Deployment operator,N04; E09; D02,BLOCKED,BLOCKED_DEPENDENCIES,False,NOT_CLOSED,Mandatory source/policy/runtime/broker dependencies remain incomplete; see exact acceptance and domain evidence.,Deploy selected natural source/schema/config/EA profile to existing target and repeat final SHADOW; verify one account/executor owner and selected policy; no automatic reuse of old D0 SHA PASS,Final SHADOW diulang pada artifact natural aktual; tidak mewarisi deployment PASS D0.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
N06,P5,DEMO campaign operator,N05,BLOCKED,BLOCKED_DEPENDENCIES,False,NOT_CLOSED,Mandatory source/policy/runtime/broker dependencies remain incomplete; see exact acceptance and domain evidence.,Real canonical natural event -> full structure -> current risk -> FinalSignal -> broker parent outcome; WAIT/advisory/stale zero new-risk command; one-account/instrument/cap/time window explicit; full TP1/SL lifecycle and no-fill counted honestly,"Bukti positif natural parent dan lifecycle protection/closure wajib; belum ada sinyal/no-fill dilaporkan NOT_OBSERVED, bukan sukses eksekusi.",evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
N07,P5,Risk/strategy maintainer,R02; S04,BLOCKED,BLOCKED,False,NOT_CLOSED,"Pure risk helper models child but durable reservation request is PARENT-only. Lifetime child slot, partial fill and broker-proved release unimplemented/unverified in selected path.","Preserve selected profile; immutable campaign R from realized balance, current account caps; explicit broker-proved release semantics, lifetime one-child slot, parent/child partial-fill and close recovery; no BE/trailing invented","Child independent proof, lifetime slot dan risk-release mengikuti SSOT/profile; floating profit dengan static SL tidak dianggap release.",evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
J01,P5,Child integration and validation owner,N07; N04; C04,BLOCKED,BLOCKED_DEPENDENCIES,False,NOT_CLOSED,Mandatory source/policy/runtime/broker dependencies remain incomplete; see exact acceptance and domain evidence.,"Freeze a real child-capable combined commit/tree after N07; bind policy/schema/config and both EA include closures; run required clean-runner, disposable PG migrations, child/parent replay, concurrency/recovery and MetaEditor gates on these exact child bytes; parent N04 PASS is context only and cannot satisfy this acceptance","Child bytes diuji sendiri termasuk replay, migrations, race, recovery dan MetaEditor; parent PASS bukan bukti child.",evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
J02,P5,Database release operator,J01; N06,BLOCKED,BLOCKED_DEPENDENCIES,False,NOT_CLOSED,Mandatory source/policy/runtime/broker dependencies remain incomplete; see exact acceptance and domain evidence.,"Inspect current target schema/ledger and apply only tested child migration under single migration owner; if no migration is needed, record verified compatible no-op against child schema digest; preserve parent/child/canary/observer histories and unresolved exposure",Migration child atau compatible no-op mempunyai bukti schema binding; riwayat dan unresolved exposure dipertahankan.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
J03,P5,Deployment operator,J01; J02,BLOCKED,BLOCKED_DEPENDENCIES,False,NOT_CLOSED,Mandatory source/policy/runtime/broker dependencies remain incomplete; see exact acceptance and domain evidence.,Deploy only the exact J01 child source/image/config/policy/EA closure with J02 schema binding; inspect effective existing service UUIDs/ownership and repeat child-capable final SHADOW with zero broker submits; parent deployment/PASS never stands in for changed artifact parity,Child release parity dan final SHADOW dibuktikan pada image/config/schema/policy/EA baru.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
N08,P5,DEMO campaign operator,N06; J03,BLOCKED,BLOCKED_DEPENDENCIES,False,NOT_CLOSED,Mandatory source/policy/runtime/broker dependencies remain incomplete; see exact acceptance and domain evidence.,Run only scoped child-capable broker campaign on exact J01/J02/J03 release; independently reconcile parent+one child and next-campaign compounding; lifetime slot persists after close; unknown retains exposure; no parent-only PASS reused for child capability,"Parent+child alami, lifecycle kedua leg, slot tetap consumed setelah close, dan compounding campaign berikutnya terbukti independen.",evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
O01,P6,Operations owner,N08,BLOCKED,BLOCKED_DEPENDENCIES,False,NOT_CLOSED,Mandatory source/policy/runtime/broker dependencies remain incomplete; see exact acceptance and domain evidence.,"Bound DEMO soak/fault drills cover disconnect/restart/kill and service loss; no orphan exposure or silent backlog; measure stale ratios, lag, resource bounds and recovery; retain protected positions and reconciliation; no spontaneous close-all","Soak/fault drill mengukur source freshness, queue lag, latency, recovery/resource; SLO/window harus ditetapkan sebelum dinilai.",evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
O02,P6,Research evaluation owner,S06; C04,BLOCKED,BLOCKED_DEPENDENCIES,False,NOT_CLOSED,Mandatory source/policy/runtime/broker dependencies remain incomplete; see exact acceptance and domain evidence.,"Predefined OOS/walk-forward cohorts with availability/cost/strategy/risk digests; campaign-clustered outcomes, drawdown/uncertainty/no-fill/ambiguous counts reported; no invented 94% target and no profitability inferred from D0",OOS/walk-forward cohort dibekukan; biaya/no-fill/unknown/campaign clustering dilaporkan; threshold tidak dipilih setelah hasil.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
O03,P6,Release reviewer,O01; O02; C05,NOT_EXECUTED,PARTIAL_DOSSIER_HOLD,False,NOT_CLOSED,"This assessment records HOLD with residual risks; O01/O02/C05 mandatory dependencies are incomplete, so REAL_REVIEW_DONE is false.",Assemble exact artifact/account/policy operational and strategy evidence plus unresolved risks; report READY_FOR_REVIEW or HOLD with objective reasons; dossier itself never enables REAL or sends orders,Dossier lengkap boleh berakhir HOLD. REAL_REVIEW_DONE tidak sama dengan REAL_READY atau REAL_ACTIVE.,evidence/contract-audit.json; evidence/strategy-audit.json; evidence/release-audit.json; validation.json
